,Unnamed: 0,clean_text,category
17,107526.0,think the main job opposition should keep bjp below 200 they still have good support imo even rajmp etc ppl were saying that they will support cong state but modi but still hoping that opposition strategy would work would say bjp below 200 ,1.0
18,73129.0,wonder modi eats mushrooms and theyre fucking costly,-1.0
19,36240.0,btw who going play female lead role modi jis movie sorry means really sorry ,-1.0
20,17075.0,you mean jumla well you are the best judge you all mastered the art jumlebaazi under your supreme bluff master the one and only modi,1.0
21,42795.0,modi will encourage voters give vote general election coming message,1.0
22,14390.0,chandralu sir knows that his defeat inevitable all wants convey lost kcrmodi but not jagan ,1.0
23,25584.0,india prime ministershatrughan sinha says modi good friend but wont stop calling out wrong ,1.0
24,11946.0,dont get defensive just because people are questioning modi its not about the people supporting modi its about what are the changes that has come changes that brought harm rather than peace after has come power vivekananda neither anyone this era ,1.0
25,94925.0,modi trying make single election but the opposition fighting 543 different elections working local issues working caste equations working their strengths however modi’ approach all centralised the leader the themes the messaging the delivery,-1.0
26,137683.0,that the only thing they can while modi working hard match usa and other developed countries rahul will pushing compete with venezuela ghana and other poor south african countries how long congress wants indians beggars farmers need help but not all,-1.0
27,78737.0,power chor chowkidar lakh every acnt dont crore employment every year dont down the petrol price dont farmer loan waiver dont rafale ambani for neerav modi vijay mallya looted bank for mota bhai ,-1.0
28,20334.0,also says ’ already seen halfadozen solid critiques twitter rahul gandhi’ goofy income guarantee scheme that’ but something tells that modi makes exactly the same promise tomorrow these critics will immediately hail “masterstroke”,1.0
29,7791.0,there whataboutery here ’ perfevlctlt possible defeat modi elections has been proved other states and democracy thriving there fascism everyone has their right what they want and don’ need approvals whom support not,1.0
30,24817.0,singlehandedly can take fakhendra modi and all his bhaqts,0.0
31,152703.0,congress proved the mother all mega scams modi has given clean government,1.0
32,20161.0,bjp releases list star campaigners for advani joshis name missing click here ,-1.0
33,89463.0,this point dont agree alok kumar was working against modi behest one party,0.0
34,135795.0,modi trying portray himself hanuman says farooq abdullah ,0.0
35,10308.0,आपको ६००० ू ीे ेंे ोा ी ोा ी ाें। missing national job market crore rural women over the last six years india news the indian express ,-1.0
36,98009.0,but madam why taking much pain writing all this because ayenge modi ,1.0
37,37749.0,running around good for nothing and making fool all fakendra modis corrupt fake and failure government remember bring great congress and the best rahul ़ेा ुुे ाी ों खबरें ़े े ि ाउनलो ें ‘inpix’। ां ्ि ें ,1.0
38,87482.0,last tweet was not about nehrumits about modi who gave defence rafael deal ambanis 126 aircrafts reduced with technology transfer plus now added missing rafeal deal papers really appreciate dese organisations should ask questions why they were left behind,-1.0
39,11843.0,"answer what the most unbiased opinion about narendra modi you hold arsal arif
must read ",1.0
40,100369.0,every business studies there say never give them fish teach them how catch fish this scheme british model where slaves are created and maintained need modi model who inspire people for new life ,1.0
41,143522.0,has only one agenda that stop modi ,0.0
42,9596.0,wearing hijab will protect immigrants canadian replacing the word mankind with peoplekind will bring equality kamal hassan not getting caste certificate will abolish caste indian modi demonetization will put end black money terrorism,-1.0
43,43781.0,antisatellite missile asat successfully targeted live satellite low earth orbit modi very important security implications this message for china,1.0
44,100787.0,congress main cause poverty india ोी ,1.0
45,75859.0,the telegraph has the spine show modi the mirror,0.0
46,124168.0,why are pakistan obsessed with this namak haram afghan nation they like modis godi and keep shoving the bums need get over them guys,-1.0
47,137518.0,every journalist biased even chitra whom thought had semblance unbias today revealed herself when she went gaga over some irrelevant 100 filmy walas who went against modi are now world where fake news and post truth doctoring the norm the day,-1.0
48,69080.0,who this guy who always appears panel the moment opens his mouth change channel only talks abt anti india anti modi loves pakistan,0.0
49,43211.0,narendra modi speech live modi address nation with important message shortly ,1.0
50,24998.0,live democracy will vote who ever want you will not dictate these terms anybody specially the youth who are well aware and educated who are you tell that are antiindia not supporting modi who gave you that authorityyou haven’ won yet,1.0
51,37392.0,really boss you are amazing cant say any single word dor you your speech very very motivational type where every budy think that really modi person who made only and only for country and congratulations for got the ticket bjp candidate ी ी ा,1.0
52,92970.0,for your kind information modi has already done all these things have you ever heard startup india standup india skill india make india easy bank loans one hour etc rahul just listing out various programs which modi has already implemented,1.0
53,10899.0,march today breaking news hindi news latest news modiआज ा via ,1.0
54,73547.0,why are you not contesting from varanasi against modi,0.0
55,103463.0,sorrydata demolishes modinarrativemilitancy related violence more than tripled during modis 5yrold rule ,1.0
56,160426.0,totally agree goes for heavy damage state states will able compensate more focus required modi here,1.0
57,71109.0,india completely hate modi and bjp,-1.0
58,110644.0,shakti will help modi via india media admitted surgical strike faked very shame you moodi,1.0
59,19725.0,from nepal rahul gandhi now canada very confident you will win elections and out modi and put him custody not choukidar his chor nepal and india like neil and meat but make nepali like dusman rahul you need bring back thosepeople back,1.0
60,34487.0,attacked pakistan without any delay after the pulwama attack while the opposition leaders were insisting for negotiation amit shah said ,0.0
61,22739.0,get your facts right what driving people into extremists islamic hindutva modi,1.0
62,144085.0,req modi jee sanction sindhi channel have been requesting since yor govt came power previous govts always neglected our pleas sindhi channel essential save cultureheritage language the community community,-1.0
63,48888.0,hindu mobs routinely resort kill muslims for suspecting have slaughtered cows eaten their meat while beef exports have risen under ultra extremist hindu prime minister narender modi via ,0.0
